"Time (s)","-X (m)","Y (m)","X Velocity (m/s)","Y Velocity (m/s)","X Acceleration (m/s²)","Y Acceleration (m/s²)","X (m)"
0.034,0,0.880428282828,0.582207937966,-0.272749311284,1.30173405045,-5.9431665043,-0
0.067,-0.0178585858586,0.875070707071,0.629180481046,-0.44092681658,1.12817626996,-7.10362671747,0.0178585858586
0.1,-0.0410747474747,0.858997979798,0.663666442612,-0.698623800719,0.849621051958,-8.56964675959,0.0410747474747
0.134,-0.0625050505051,0.830424242424,0.689381295845,-1.01923404622,0.482743304631,-9.85256001065,0.0625050505051
0.167,-0.0875070707071,0.791135353535,0.704957782254,-1.38118916894,-0.107454643415,-10.493812621,0.0875070707071
0.2,-0.110723232323,0.739345454545,0.67455458789,-1.74272221485,-0.462406017961,-10.1253902013,0.110723232323
0.234,-0.132153535354,0.673268686869,0.655263233467,-2.06812150835,-0.319186091659,-9.39114154141,0.132153535354
0.267,-0.153583838384,0.600048484848,0.660107369485,-2.36828393387,-0.29075456656,-8.66782871972,0.153583838384
0.3,-0.1768,0.516113131313,0.641846914885,-2.64016625689,-0.412697385746,-7.85039613882,0.1768
0.334,-0.196444444444,0.423248484848,0.625543181035,-2.90016139398,-0.427843787343,-6.68958112816,0.196444444444
0.367,-0.217874747475,0.321454545455,0.624321541972,-3.12713450196,-0.728477232703,-4.38766114647,0.217874747475
0.4,-0.239305050505,0.212517171717,0.581905489591,-3.21511436455,-1.11419183712,-1.53688483546,0.239305050505
0.434,-0.257163636364,0.101793939394,0.533987950424,-3.18785076667,-1.12743951103,0.272674729044,0.257163636364
0.467,-0.273236363636,0,0.504608034196,-3.1353893526,-1.02923721354,1.17775367639,0.273236363636
